german,english1,english2
Wir haben zu viel Essen bestellt .,We ordered too much food .,We ordered too much food .
Warum sagt ihr denn nichts ?,Why aren 't you saying anything ?,Why don 't you say anything ?
"Es tut mir leid ! Ich weiß , dass ich das nicht hätte tun sollen .",I 'm sorry . I know I shouldn 't have done that .,I know I shouldn 't have .
"Ich denke , ich möchte nächstes Jahr ins Ausland gehen .",I 'm thinking of going abroad next year .,I think I want to go abroad next year .
"Was Tom tat , war äußerst gefährlich .",What Tom did was extremely dangerous .,What Tom did was very dangerous .
Die Musik in diesem Fahrstuhl finde ich Spitze !,I really like the music in this elevator .,I find the music in this elevator great !
"Ich denke , das ist gut .",I think this is good .,I think that 's good .
Es war nur ein Witz .,It was nothing but a joke .,It was just a joke .
"Ich möchte wissen , was ihr denkt .",I want to know what you think .,I want to know what you 're thinking .
Wir werden dich beobachten .,We 'll watch you .,We 'll be watching you .
Ich halte meine Versprechen immer .,I always keep my promises .,I always keep my promises .
Die Kinder waren nass bis auf die Haut .,The children were completely soaked .,The children were wet to the skin .
Machen wir uns mal auf die Suche nach Tom !,Let 's go find Tom .,Let 's go find Tom .
Sie lassen sich aber ganz schön Zeit .,You 're sure taking your time .,You 're taking your time .
Im Garten war niemand .,There was nobody in the garden .,There was no one in the garden .
Tom ist viel schwerer als Maria .,Tom is much heavier than Mary is .,Tom is much harder than Maria .
Tom scheint in seine Arbeit vertieft zu sein .,Tom seems absorbed in his work .,Tom seems to be deep into his work .
Ihr Gesicht strahlte vor Freude .,Her face beamed with joy .,Her face shone with joy .
Ich wurde am 10. Oktober 1972 geboren .,"I was born on October 10 , 1972 .","I was born on October 10 , 1972 ."
"Wir sehen uns dann , wenn du hier bist .",I 'll see you when you get here .,I 'll see you when you get here .
Das kann nicht euer Ernst sein !,You 're kidding !,You can 't be serious !
"Tom sagte mir , er wolle Französisch lernen .",Tom told me that he wanted to study French .,Tom told me he wanted to learn French .
"Jackson forderte den Arzt auf , die Kugel unverzüglich herauszuschneiden .",Jackson asked the doctor to cut out the bullet at once .,Jackson asked the doctor to cut the bullet out immediately .
Tom hat mir sein neues Auto gezeigt .,Tom showed me his new car .,Tom showed me his new car .
Wer seid ihr ?,Who are you ?,Who are you ?
Es gab viele Argumente gegen den Gesetzentwurf .,There was much argument against the bill .,There were many arguments against the draft law .
Kommen Sie von einem anderen Planeten ?,Do you come from another planet ?,Are you from another planet ?
Wie hast du denn diese Schrottlaube noch durch den TÜV bekommen ?,How did you get this rusty junk approved by the Technical Inspection Association ?,How did you get that piece of junk through the TÜV ?
Wir liefen hin und her .,We were running to and fro .,We ran back and forth .
Mir ist beides recht .,Either way 's fine with me .,I 'm fine with both of them .
Warum sagt ihr ' s mir nicht ?,Why don 't you tell me ?,Why don 't you tell me ?
"Tom hätte es so machen sollen , wie Sie ihm gesagt hatten .",Tom should 've done it the way you told him to do it .,Tom should have done it the way you told him .
Letzte Nacht habe ich von dir geträumt .,"Last night , I dreamed about you .",I had a dream about you last night .
"Maria tat so , als hätte sie eine Pistole .",Mary pretended she had a gun .,Maria pretended she had a gun .
Laylas Hund fand eine Leiche .,Layla 's dog found a dead body .,Layla 's dog found a body .
Tom hat den Hahn nicht krähen gehört .,Tom didn 't hear the rooster crow .,Tom didn 't hear the cock crowing .
Mit 15 ist er von zu Hause ausgerissen .,"When he was 15 , he ran away from home .","When he was 15 , he got away from home ."
"Warum habe ich ein "" ausreichend "" bekommen ?",Why did I get a D ?,"Why did I get a "" sufficient "" ?"
"Ich denke nicht , dass wir das brauchen .",I don 't think we need that .,I don 't think we need this .
"Es sieht nicht so aus , als wenn es passieren würde .",It doesn 't look as if it 's going to happen .,It doesn 't look like it 's happening .
"Ich bin mir sicher , dass wir ihm vertrauen können .",I 'm sure we can trust him .,I 'm sure we can trust him .
Der Gleitschirmflieger landete im Baum .,The paraglider landed in the tree .,The paraglider plane landed in the tree .
"Ich weiß schon gar nicht mehr , wie man Freunde findet .",I don 't know how to make friends anymore .,I don 't even know how to make friends anymore .
Ich gehe ins Ausland .,I 'm going abroad .,I 'm going abroad .
Deutsch ist keine einfache Sprache .,German is not an easy language .,German is not a simple language .
Tom scheint irgendetwas zu erwarten .,Tom seems to be expecting something .,Tom seems to be expecting something .
Ich hab dir etwas Eis gebracht .,I brought you some ice .,I brought you some ice .
Tom und Maria machen keine Witze .,Tom and Mary aren 't kidding .,Tom and Maria don 't make jokes .
"Wir sollten die notwendigen Schritte unternehmen , bevor es zu spät ist .",We should take the necessary steps before it 's too late .,We should take the necessary steps before it is too late .
Das Feuer verbrannte das Haus zu Asche .,The fire reduced the house to ashes .,The fire burned the house to ashes .
Ich überdrehe .,I 'm overreacting .,I 'm overdoing it .
Tom mag keine Apfelsinen .,Tom doesn 't like oranges .,Tom doesn 't like apple sines .
Wie schnell können Sie diese Fotos fertigstellen ?,How quickly can you finish these pictures ?,How fast can you finish these photos ?
"Sag mir , wie ist sie wirklich ?","Tell me , what 's she really like ?","Tell me , what is she really like ?"
"Wenn jemand eine rote Ampel überfährt , riskiert er einen Unfall .","When somebody runs a red light , they risk causing an accident .","If you hit a red light , you risk an accident ."
Die Antwort geht an der Sache vorbei .,The answer misses the point .,The answer goes past the point .
Die Planeten unseres Sonnensystems sind in innere und äußere Planeten eingeteilt .,The planets in our solar system are classified as inner planets and outer planets .,The planets of our solar system are divided into inner and outer planets .
Was könnte das bedeuten ?,What could be the meaning of it ?,What could that mean ?
Gefällt es Ihnen hier ?,Do you like it here ?,Do you like it here ?
Versuche es noch einmal .,Try it once again .,Try again .
Möchten Sie Pommes frites dazu ?,Do you want fries with that ?,Would you like some fries ?
In seiner Gegenwart errötet sie sofort .,She immediately blushes in his presence .,"In his presence , she blushes immediately ."
"Tom und Maria sagten Johannes , sie glaubten , Elke habe sich nicht verirrt .",Tom and Mary told John that they thought Alice wasn 't lost .,Tom and Mary told John that they believed that Elke had not lost .
Wir kommen erst nächstes Jahr wieder hierher zurück .,We won 't be back here again until next year .,We 're only coming back here next year .
Das Mädchen trinkt Orangensaft .,The girl drinks orange juice .,The girl drinks orange juice .
Tom lacht kaum .,Tom rarely laughs .,Tom 's barely laughing .
Der Kontinent ist reich an fossilen Brennstoffen .,The continent is abundant in fossil fuels .,The continent is rich in fossil fuels .
Die Wirtschaft wurde hart getroffen von den Energiepreiserhöhungen .,The economies were hit hard by energy price increases .,The economy was hit hard by the energy price increases .
Der Wettervorhersage zufolge zieht ein Sturm auf .,"According to the weather forecast , a storm 's coming .","According to the weather forecast , a storm is coming ."
Zeichnen Sie eine gerade Linie .,Draw a straight line .,Draw a straight line .
"Achtet auf alles , was Tom sagt !",Pay attention to everything Tom says .,Look out for everything Tom says !
"Meine Mama hat gesagt , dass ich dick bin .",My mom told me that I was fat .,My mom said I was fat .
Ich fiel .,I fell .,I fell .
Ich konnte sie zuerst nicht wiedererkennen .,I couldn 't recognize her at first .,I couldn 't recognize her at first .
Lass es mich mal versuchen .,Let me have a try at it .,Let me try .
Kommst du nicht zu dem Fest morgen ?,Aren 't you coming to the party tomorrow ?,You 're not coming to the party tomorrow ?
Tom legte Maria die Hände auf die Schultern .,Tom put his hands on Mary 's shoulders .,Tom put her hands on her shoulders .
Er rasiert sich die Beine .,He shaves his legs .,He 's shaving his legs .
Du musst Boston verlassen .,You have to leave Boston .,You have to leave Boston .
Die Frau und der Sohn des Staatsmannes starben vor drei Jahren .,The wife and son of the statesman died three years ago .,The wife and the son of the statesman died three years ago .
"Wäre er ehrlich gewesen , hätten sie ihn eingestellt .","If he had been honest , they would have employed him .","If he had been honest , they would have hired him ."
Hast du dich umgezogen ?,Did you change your clothes ?,Did you change ?
Rachel ist eine gute Christenfrau und meint es gut .,Rachel is a good Christian woman and she means well .,Rachel is a good Christian woman and means well .
Schule ist doof .,School sucks .,School is stupid .
Ich hatte wirklich Hunger .,I was really hungry .,I was really hungry .
Wenn ich nur deinen Rat angenommen hätte !,If I 'd only taken your advice !,If only I had taken your advice !
Tom und Maria wohnen in einem traditionell @-@ japanischen Haus .,Tom and Mary live in a traditional Japanese house .,Tom and Maria live in a traditional Japanese house .
Nimm das Telefon !,Take the phone .,Take the phone !
Er war aus China zurückgekommen .,He had come back from China .,He had come back from China .
"Ich beschloss , ihm die Wahrheit zu sagen .",I decided to tell him the truth .,I decided to tell him the truth .
"Ich erinnere mich nicht , danach gefragt zu haben .",I don 't remember asking for it .,I don 't remember asking about it .
"Sie können am Montag oder Dienstag kommen , aber nicht am Mittwoch oder Donnerstag .","They can come on Monday or Tuesday , but not on Wednesday or Thursday .","You can come on Monday or Tuesday , but not on Wednesday or Thursday ."
Hört auf zu tratschen .,Stop gossiping .,Stop gossip .
Welche Sprachen spricht man in Amerika ?,What languages are spoken in America ?,What languages do you speak in America ?
Macht endlich Schluss mit dem Versteckspiel .,Finally stop playing hide @-@ and @-@ seek .,It 's time to end the hide @-@ and @-@ seek game .
Ihr kleiner Protest entwickelte sich zu einer Massendemonstration .,Their small protest triggered a mass demonstration .,Her little protest developed into a mass demonstration .
"Ich habe der Versuchung nachgegeben und angefangen , eine Zigarette zu rauchen .",I gave in to temptation and began to smoke a cigarette .,I gave in to the temptation and started smoking a cigarette .
